contract_id,decision,imo,vessel_name,route_id,origin,destination,departure_date,estimated_eta,worst_incremental,base_incremental,expected_incremental
CONTRACT_002,KILL,9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",2026-08-30 00:00:00+00:00,2026-09-18 00:15:00.475562224+00:00,116115.46035596076,340049.855148833,387801.17855482805
CONTRACT_003,KILL,9607136,RTM DHAMBUL,3,"East Kalimantan, Indonesia","Navlakhi, India",2026-09-07 00:00:00+00:00,2026-09-23 05:52:54.512767164+00:00,209078.66325160954,431207.1355058295,478573.36759403424
CONTRACT_006,KILL,9290971,ORIENTAL ENTERPRISE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2026-09-07 00:00:00+00:00,2026-09-17 08:41:30.373981627+00:00,318108.49621684366,509588.630894807,550419.4726477592
CONTRACT_008,KILL,9290971,ORIENTAL ENTERPRISE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2026-09-07 00:00:00+00:00,2026-09-20 22:56:05.366736398+00:00,259369.67661237437,471945.08036502835,517274.2351924584
CONTRACT_010,KILL,9607136,RTM DHAMBUL,10,Indonesia,"Paradip, India",2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,511933.9498951118,768374.9503837235,823057.9175099436
CONTRACT_013,KILL,9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-06 00:00:00+00:00,2026-09-21 15:09:31.159862762+00:00,551854.6625148507,870900.9776767385,938933.7771530217
CONTRACT_014,KILL,9607136,RTM DHAMBUL,14,"East Kalimantan, Indonesia","Paradip, India",2026-09-07 00:00:00+00:00,2026-09-18 13:22:59.538985611+00:00,239293.42523933807,419885.6791045576,458394.81088358583
CONTRACT_020,KILL,9290971,ORIENTAL ENTERPRISE,20,East Coast Australia,East Coast India,2026-08-30 00:00:00+00:00,2026-09-19 12:08:52.530079941+00:00,272094.14759265934,559314.3496096043,620560.6122390326
CONTRACT_021,KILL,9290971,ORIENTAL ENTERPRISE,21,Indonesia,East Coast India,2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,264664.21874023293,446408.07538372354,485162.7726407629
CONTRACT_022,KILL,9290971,ORIENTAL ENTERPRISE,22,Indonesia,West Coast India,2026-09-06 00:00:00+00:00,2026-09-21 15:25:14.169031453+00:00,185584.66054670513,394103.2817849956,438567.37640579534
